trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.788, 'e': 0.978}",20,0,-118.26880564267464,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.77618, 'e': 0.95644}",25,0,-125.65209535985242,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.7645373, 'e': 0.9353111999999999}",20,0,-67.01301176566474,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.7530692405, 'e': 0.9146049759999999}",25,17,-9.721988465564378,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.7417732018925, 'e': 0.8943128764799999}",25,0,-54.4421325018327,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.7306466038641124, 'e': 0.8744266189503999}",35,0,-199.80590135552296,"{0: 21, 1: 5, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.7196869048061507, 'e': 0.8549380865713918}",25,0,-148.80172058144777,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
8,False,"{'a': 0.7088916012340585, 'e': 0.8358393248399639}",20,0,-47.627764259919864,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.6982582272155476, 'e': 0.8171225383431646}",25,0,-179.4046911677703,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
10,False,"{'a': 0.6877843538073144, 'e': 0.7987800875763013}",20,0,-110.84400734048756,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.6774675885002047, 'e': 0.7808044858247752}",20,15,-2.837508417992324,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.6673055746727017, 'e': 0.7631883961082797}",20,7,-91.01288491567789,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.6572959910526112, 'e': 0.745924628186114}",20,0,-81.04185178952537,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.647436551186822, 'e': 0.7290061356223918}",35,0,-107.23394183756191,"{0: 26, 1: 3, 2: 2, 3: 3, 4: 1}",0
15,False,"{'a': 0.6377250029190197, 'e': 0.712426012909944}",30,24,8.710686952859787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6281591278752344, 'e': 0.6961774926517451}",20,0,-82.04648471535103,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.6187367409571058, 'e': 0.6802539427987102}",20,0,-95.62066171844707,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.6094556898427492, 'e': 0.664648863942736}",25,16,7.139780667297562,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.600313854495108, 'e': 0.6493558866638813}",25,0,-48.8830945074243,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5913091466776813, 'e': 0.6343687689306037}",20,0,-102.92873551771007,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5824395094775161, 'e': 0.6196813935519916}",30,2,-139.2231730857473,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 2}",1
22,False,"{'a': 0.5737029168353533, 'e': 0.6052877656809518}",20,13,-59.43806069336065,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.565097373082823, 'e': 0.5911820103673328}",25,8,-78.601593521687,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
24,False,"{'a': 0.5566209124865806, 'e': 0.577358370159986}",30,6,-44.01644385712229,"{0: 15, 1: 7, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5482715987992819, 'e': 0.5638112027567863}",30,0,-32.258423918915284,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5400475248172927, 'e': 0.5505349787016506}",25,17,15.396463909211466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5319468119450332, 'e': 0.5375242791276176}",25,3,-82.3322333007441,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 1}",1
28,False,"{'a': 0.5239676097658578, 'e': 0.5247737935450653}",25,0,-19.304264955553826,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
