trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8865, 'e': 0.978}",25,0,-137.05927414697442,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.8732025, 'e': 0.95644}",35,11,-76.68144163600992,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.8601044624999999, 'e': 0.9353111999999999}",20,0,-74.98058517455034,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.8472028955625, 'e': 0.9146049759999999}",20,0,-54.95412537976953,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.8344948521290624, 'e': 0.8943128764799999}",30,0,-248.390849191694,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 5}",0
6,False,"{'a': 0.8219774293471265, 'e': 0.8744266189503999}",20,0,-57.249871832126445,"{0: 9, 1: 8, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.8096477679069196, 'e': 0.8549380865713918}",25,0,-155.4128318082942,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.7975030513883158, 'e': 0.8358393248399639}",25,0,-207.96115457876147,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
9,False,"{'a': 0.785540505617491, 'e': 0.8171225383431646}",20,0,-152.40176456334737,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.7737573980332286, 'e': 0.7987800875763013}",30,0,-193.2052177681965,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.7621510370627302, 'e': 0.7808044858247752}",30,0,-101.65372333997203,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.7507187715067892, 'e': 0.7631883961082797}",25,0,-122.65882686174706,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.7394579899341874, 'e': 0.745924628186114}",25,0,-79.42992927213369,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.7283661200851747, 'e': 0.7290061356223918}",25,0,-138.88246770768328,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.717440628283897, 'e': 0.712426012909944}",25,0,-72.0705003233156,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.7066790188596386, 'e': 0.6961774926517451}",20,0,-88.3592887481115,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.6960788335767439, 'e': 0.6802539427987102}",30,0,-218.70246292676202,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.6856376510730928, 'e': 0.664648863942736}",20,0,-137.59370266937822,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.6753530863069964, 'e': 0.6493558866638813}",25,0,-145.31340941680753,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.6652227900123915, 'e': 0.6343687689306037}",30,0,-189.3554341223853,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",1
1,True,"{'a': 0, 'e': 0}",20,0,-82.4846317314995,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-111.52589032283225,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-53.478578603706794,"{0: 9, 1: 9, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-226.52043911595234,"{0: 17, 1: 7, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-71.24161951809317,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-85.90337260347867,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-121.97149082819566,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,11,-66.37464359866244,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-70.50383258392439,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-101.80972438603932,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
